,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track,artist,msPlayed,datetime
0,0.79,0.774,7,-7.961,1,0.072,0.371,0.0,0.0669,0.835,97.035,audio_features,0t2qvfSBQ3Y08lzRRoVTdb,spotify:track:0t2qvfSBQ3Y08lzRRoVTdb,https://api.spotify.com/v1/tracks/0t2qvfSBQ3Y08lzRRoVTdb,https://api.spotify.com/v1/audio-analysis/0t2qvfSBQ3Y08lzRRoVTdb,176080,4,Can I Get A Witness,The Rolling Stones,2169,2023-06-03 07:59:00
0,0.79,0.774,7,-7.961,1,0.072,0.371,0.0,0.0669,0.835,97.035,audio_features,0t2qvfSBQ3Y08lzRRoVTdb,spotify:track:0t2qvfSBQ3Y08lzRRoVTdb,https://api.spotify.com/v1/tracks/0t2qvfSBQ3Y08lzRRoVTdb,https://api.spotify.com/v1/audio-analysis/0t2qvfSBQ3Y08lzRRoVTdb,176080,4,Can I Get A Witness,The Rolling Stones,174250,2023-06-03 13:12:00
0,0.728,0.878,11,-6.926,0,0.0564,0.176,0.856,0.61,0.911,126.59,audio_features,0LoQuiekvzqx7n8flgEKzF,spotify:track:0LoQuiekvzqx7n8flgEKzF,https://api.spotify.com/v1/tracks/0LoQuiekvzqx7n8flgEKzF,https://api.spotify.com/v1/audio-analysis/0LoQuiekvzqx7n8flgEKzF,262613,4,Get It On,T. Rex,262613,2023-06-03 13:16:00
0,0.636,0.914,0,-4.691,1,0.0767,0.26,0.000105,0.108,0.506,108.974,audio_features,6z6A5noPJqsqRBqjYsic3D,spotify:track:6z6A5noPJqsqRBqjYsic3D,https://api.spotify.com/v1/tracks/6z6A5noPJqsqRBqjYsic3D,https://api.spotify.com/v1/audio-analysis/6z6A5noPJqsqRBqjYsic3D,258933,4,Wandering Spirit,Mick Jagger,258933,2023-06-03 13:21:00
0,0.226,0.585,2,-9.965,1,0.0343,0.128,0.0233,0.112,0.655,180.495,audio_features,3jBCwLVmmfKUH8321N4bdd,spotify:track:3jBCwLVmmfKUH8321N4bdd,https://api.spotify.com/v1/tracks/3jBCwLVmmfKUH8321N4bdd,https://api.spotify.com/v1/audio-analysis/3jBCwLVmmfKUH8321N4bdd,234600,3,Shifting Sands,The West Coast Pop Art Experimental Band,234600,2023-06-03 13:25:00
0,0.447,0.305,2,-14.745,1,0.0428,0.755,0.945,0.1,0.512,136.801,audio_features,2mtc4jXbgV3nm8UPN2O7sk,spotify:track:2mtc4jXbgV3nm8UPN2O7sk,https://api.spotify.com/v1/tracks/2mtc4jXbgV3nm8UPN2O7sk,https://api.spotify.com/v1/audio-analysis/2mtc4jXbgV3nm8UPN2O7sk,169547,4,Joy Of A Toy,Soft Machine,169546,2023-06-03 13:28:00
0,0.773,0.756,10,-5.149,1,0.0388,0.159,0.00236,0.0805,0.912,105.322,audio_features,1YqJSpIxdavjQ8BxAttU0r,spotify:track:1YqJSpIxdavjQ8BxAttU0r,https://api.spotify.com/v1/tracks/1YqJSpIxdavjQ8BxAttU0r,https://api.spotify.com/v1/audio-analysis/1YqJSpIxdavjQ8BxAttU0r,152466,4,Lookin' Out My Back Door,Creedence Clearwater Revival,152466,2023-06-03 13:30:00
0,0.394,0.863,9,-6.239,1,0.101,0.0157,0.0116,0.0609,0.907,193.552,audio_features,5BUVbe6Zt1jVgKFKMdp0p0,spotify:track:5BUVbe6Zt1jVgKFKMdp0p0,https://api.spotify.com/v1/tracks/5BUVbe6Zt1jVgKFKMdp0p0,https://api.spotify.com/v1/audio-analysis/5BUVbe6Zt1jVgKFKMdp0p0,247773,4,Jeepster,T. Rex,247773,2023-06-03 13:34:00
0,0.898,0.412,9,-13.826,0,0.0395,0.137,0.338,0.0825,0.857,117.457,audio_features,2miIOgni3EEut8pvYcxeYn,spotify:track:2miIOgni3EEut8pvYcxeYn,https://api.spotify.com/v1/tracks/2miIOgni3EEut8pvYcxeYn,https://api.spotify.com/v1/audio-analysis/2miIOgni3EEut8pvYcxeYn,252693,4,Six Blade Knife,Dire Straits,252000,2023-06-03 13:39:00
0,0.644,0.824,3,-11.15,1,0.0512,0.686,3.06e-05,0.577,0.822,135.595,audio_features,5Z7Xad6ghivPVONXAJFcst,spotify:track:5Z7Xad6ghivPVONXAJFcst,https://api.spotify.com/v1/tracks/5Z7Xad6ghivPVONXAJFcst,https://api.spotify.com/v1/audio-analysis/5Z7Xad6ghivPVONXAJFcst,176267,4,It's Not Easy,The Rolling Stones,176266,2023-06-03 13:42:00
